date,country,economic_risk_pillar_score,trailing_12m_avg
2007-01-01,IRL,-0.1829488120026898,-0.5120598973591363
2008-01-01,IRL,-1.4579557596074375,-0.82735851810857
2009-01-01,IRL,3.167728478902448,0.1714132311441845
2010-01-01,IRL,1.9781057066084946,0.5327517262370465
2011-01-01,IRL,1.8193978513219233,0.747192747084526
2012-01-01,IRL,1.650085115435777,0.8761773711347046
2013-01-01,IRL,1.7364882162007973,0.9837162267679662
2014-01-01,IRL,4.159201868704938,1.336547964760963
2015-01-01,IRL,-2.761026640450428,0.926790504239824
2016-01-01,IRL,-1.064690733191173,0.7457467553824607
2017-01-01,IRL,-0.7729870536428021,0.6191856046303554
2018-01-01,IRL,-1.551163501419889,0.5600195614049964
2019-01-01,IRL,-0.6561748324492541,0.5205840597011162
2020-01-01,IRL,-1.6613180075666008,0.5036372057045192
2021-01-01,IRL,-1.0622807255283593,0.15113643866861867
2022-01-01,IRL,0.35992860774399005,0.016288347096576634
2023-01-01,IRL,1.313391036873009,-0.025878887440832887
2024-01-01,IRL,0.4011152049732069,-0.12995971331271372
2025-01-01,IRL,-1.880281573895275,-0.4313571958207197
2006-01-01,ISR,-0.009173368433331643,-0.009173368433331643
2007-01-01,ISR,-0.1566640203205027,-0.08291869437691717
2008-01-01,ISR,0.625105632221138,0.1530894144891012
2009-01-01,ISR,-0.62364631070685,-0.04109451680988657
2010-01-01,ISR,-0.5767698780324306,-0.14822958905439537
2011-01-01,ISR,0.8785628092550442,0.022902477330511206
2012-01-01,ISR,0.7672354403611195,0.12923575776345525
2013-01-01,ISR,0.6445532671913696,0.19365044644194454
2014-01-01,ISR,-1.0483218335845987,0.055653526438995286
2015-01-01,ISR,-0.9407694114381082,-0.04398876734871506
2016-01-01,ISR,-2.1476566084347,-0.23523129835653186
2017-01-01,ISR,-1.8771652853878662,-0.37205913060914303
2018-01-01,ISR,-1.3639280512027374,-0.48495535417326024
2019-01-01,ISR,-1.606553744018104,-0.605779497814727
2020-01-01,ISR,-1.2640436878867662,-0.763208607823719
2021-01-01,ISR,-0.272990901148073,-0.733987323693821
2022-01-01,ISR,-0.12598842591755635,-0.696422202684248
2023-01-01,ISR,-0.06215835269920214,-0.774815632847102
2024-01-01,ISR,0.15238954403543686,-0.8260527908742422
2025-01-01,ISR,-0.06761303385828356,-0.8853999826283799
2006-01-01,ITA,2.090662203524082,2.090662203524082
2007-01-01,ITA,2.2877480325618174,2.18920511804295
2008-01-01,ITA,2.5023774709065276,2.293595902330809
2009-01-01,ITA,-1.5183903663127267,1.340599335169925
2010-01-01,ITA,0.27688796812045885,1.1278570617600319
